"state","sum_sqft","total","partners","imp_none","imp_ten","imp_twenty","imp_greater"
"NY","268170854.2","1239","21","405","364","252","218"
"NC","176863744.642","632","17","131","225","159","117"
"TX","156067536.0","2173","21","599","712","543","319"
"GA","122729742.5","990","22","222","274","254","240"
"MA","109765256.4","796","23","247","247","180","122"
"CA","102164311.5333","2772","24","963","840","604","365"
"FL","100430127","1838","26","478","578","477","305"
"IL","79566368.5","1226","21","266","355","351","254"
"NV","79171138.4","267","15","86","87","57","37"
"PA","77713991","681","20","162","204","175","140"
"OH","61249989.8","850","16","146","198","260","246"
"MI","53800927.31","793","18","157","254","168","214"
"VA","45519319.9","789","21","189","228","197","175"
"MD","42361826","483","20","147","143","111","82"
"CO","38513556.0","721","21","181","226","199","115"
"IN","37418866.1","609","18","107","172","171","159"
"TN","37020648","772","18","150","227","241","154"
"WI","36503953.0","545","10","125","181","162","77"
"AZ","31751866.0","569","17","105","192","179","93"
"AL","30914191","322","15","50","98","110","64"
"MO","30398359","463","17","79","136","165","83"
"DC","30224556","268","14","114","68","50","36"
"WA","28977037.2667","761","21","196","238","215","112"
"UT","28065167.0","191","13","47","59","38","47"
"LA","23625567","292","10","68","117","79","28"
"OR","21409454","481","14","117","173","122","69"
"SC","21006766","318","13","67","116","95","40"
"KY","20803957","307","12","41","93","111","62"
"OK","20768218","276","11","62","112","67","35"
"AR","20097963","196","7","42","78","58","18"
"MN","19704929","343","13","78","111","89","65"
"MS","17451186","162","10","45","52","44","21"
"NJ","16539158","418","13","108","109","108","93"
"KS","14050971","177","11","34","49","74","20"
"IA","13341882","174","7","41","71","43","19"
"CT","12394915","246","11","56","69","67","54"
"DE","10667018","250","9","56","54","57","83"
"NM","9591727","103","9","20","46","26","11"
"NH","8859357.8","130","9","28","40","27","35"
"NE","8681482","116","10","27","45","31","13"
"HI","8247273","86","9","37","27","14","8"
"WV","7442423","73","7","16","28","16","13"
"ME","5325813","56","6","7","17","19","13"
"ID","4873111","102","9","23","40","28","11"
"WY","3369610","32","7","12","12","6","2"
"SD","2999813","38","6","8","18","9","3"
"ND","2904712","31","6","5","15","6","5"
"MT","2641783","40","8","12","16","7","5"
"RI","2139205","65","10","12","21","20","12"
"AK","1593264","18","5","8","5","3","2"
"PR","1217531","86","1","21","18","26","21"
"VT","483815","15","5","3","5","5","2"
